Unnamed: 0,name,audio_path,transcription
15,SP10_THA_M_16,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP10_THA_audio/SP10_THA_M_16.wav,"எது டா கொஞ்சோண்டு, ஏம்மோ நேத்து அந்த பருவத அத்த பாம்பேல இருந்து அந்த சந்தரகலா வாங்கி குடுத்தாவுலாம்ம"
16,SP10_THA_M_17,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP10_THA_audio/SP10_THA_M_17.wav,இது என்னடி கூத்தா இருக்கு இவன் மீனாட்சி மருவன் மாரிலா இருக்கு
17,SP10_THA_M_18,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP10_THA_audio/SP10_THA_M_18.wav,"தக்காளி என்ன வெல பா, எல்லாம் ஒடஞ்சு ஒடஞ்சு இருக்கு"
18,SP10_THA_M_19,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP10_THA_audio/SP10_THA_M_19.wav,கத்திரிக்கா இந்த கத்திரிக்கா தான் இருக்கா நாட்டு கத்திரிக்கா இல்லைங்களா?
19,SP10_THA_M_20,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP10_THA_audio/SP10_THA_M_20.wav,கிலோ காத்திரிக்கா என்ன வெல? மாங்கா என்ன வெலனு போடுறீங்க?
20,SP11_THA_M_1,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP11_THA_audio/SP11_THA_M_1.wav,ஆயி இந்த பொடவ மடிப்ப எடுத்து விடேன்
21,SP11_THA_M_2,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP11_THA_audio/SP11_THA_M_2.wav,நானும் எடுத்து விட்டு விட்டு பாக்கேன் நிக்கவே மாட்டங்கது
22,SP11_THA_M_3,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP11_THA_audio/SP11_THA_M_3.wav,எம்மோவ் நல்ல பட்டு பொடவ கட்டிட்டு பூவெல்லாம் வெச்சு கிட்டு எங்கம்மா போற
23,SP11_THA_M_4,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP11_THA_audio/SP11_THA_M_4.wav,நடுத்தெருவுல தமிழரசி சின்னம்மா இருகாலா அவா மவலுக்கு பரிசம் போடுராவோ போயிட்டு வந்துருதேன்
24,SP11_THA_M_5,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP11_THA_audio/SP11_THA_M_5.wav,இல்லாட்டி அவா கோவ்ச்சுக்குவா
25,SP11_THA_M_6,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP11_THA_audio/SP11_THA_M_6.wav,எம்மாவோ திங்க ஏதாது தீனி கீனி இருந்தா எடுத்து குடுத்துட்டு போயேன்
26,SP11_THA_M_7,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP11_THA_audio/SP11_THA_M_7.wav,ஏலே பொழுது விடிஞ்சு பொழுது போனா அந்த ஒரத்தநாடு மாவு மில்லு மாதிரி நல்லா அரச்சுக்கிட்டே இருக்க
27,SP11_THA_M_8,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP11_THA_audio/SP11_THA_M_8.wav,இதுல நான் வேற தீனிய கொண்டாந்து கைல குடுத்துட்டு போறேன் இரு
28,SP11_THA_M_9,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP11_THA_audio/SP11_THA_M_9.wav,அப்படி சொல்லுமா எப்போ பாத்தாலும் என் தீனியவும் சேத்து தின்னுருதான்
29,SP11_THA_M_10,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP11_THA_audio/SP11_THA_M_10.wav,ரெண்டு பேரும் அடிச்சுக்காதீங்க செத்த செவனேனு இருங்க
30,SP11_THA_M_11,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP11_THA_audio/SP11_THA_M_11.wav,அது என்னடி எடுத்தவுடன கைய நீட்டுற பழக்கம்
31,SP11_THA_M_12,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP11_THA_audio/SP11_THA_M_12.wav,கைய ஒடச்சு அடுப்புல வச்சுருவேன் பாத்துக்கோ
32,SP11_THA_M_13,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP11_THA_audio/SP11_THA_M_13.wav,என்னையவே திட்டு ஏன் தீனிய புல்லா திருடி தின்னுட்டு போயிறுதான்
33,SP11_THA_M_14,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP11_THA_audio/SP11_THA_M_14.wav,ஏலே அதான் வாங்கிட்டு வரத பா பாதியா பங்கு பிரிச்சு தாரென்லா அப்புறம் எத்துக்கு திருடி தின்னுனு தொலையுற
34,SP11_THA_M_15,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP11_THA_audio/SP11_THA_M_15.wav,அவா திங்காம வச்சுருந்தா எனக்கு பசிச்சுது கொஞ்சோண்டு தின்னேன்
35,SP11_THA_M_16,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP11_THA_audio/SP11_THA_M_16.wav,"எதுடா கொஞ்சோண்டு, ஏம்மோ நேத்து அந்த பருவத்த பருவத அத்த பாம்பேல இருந்து அந்த சந்தரகலா வாங்கி குடுத்தாவுலாம்ம"
36,SP11_THA_M_17,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP11_THA_audio/SP11_THA_M_17.wav,மத்த மாவட்டத்துல வெளாண்டா மாறி நெனைச்சுராதிய
37,SP11_THA_M_18,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP11_THA_audio/SP11_THA_M_18.wav,மஹி நாளைக்கு எனக்கு யூனிவர்சிட்டி எக்ஸாம்டி
38,SP11_THA_M_19,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP11_THA_audio/SP11_THA_M_19.wav,நாளைக்கு ஒரு நாள் ஏன்கிட்ட வம்பு கிம்பு போடாதடி
39,SP11_THA_M_20,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP11_THA_audio/SP11_THA_M_20.wav,எடயில சத்தம் கித்தம் போட்டாக்கா ஆன்லைன் எக்ஸாம் கட் ஆயிரும்
40,SP11_THA_M_21,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP11_THA_audio/SP11_THA_M_21.wav,ரா முழுக்க விழுந்து விழுந்து படிக்கறா இதுல எக்ஸாம் எழுத போறாலாம்
41,SP11_THA_M_22,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP11_THA_audio/SP11_THA_M_22.wav,பகல் புல்லா கேம் வெளைட வேண்டியது கேட்டா எக்ஸாமுங்கறது
42,SP11_THA_M_23,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP11_THA_audio/SP11_THA_M_23.wav,என்னடி நான் ஆன்லைன் எக்ஸாமுங்கறேன் நீ என்னமோ லூசு மாறி பேசுற
43,SP11_THA_M_24,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP11_THA_audio/SP11_THA_M_24.wav,ஆம்மாண்டி நான் தான் பொழுதன்னைக்கும் கேம் வெளாடுறேன்
44,SP11_THA_M_25,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP11_THA_audio/SP11_THA_M_25.wav,நீ அப்படியே படிச்சுட்டே இருக்க எந்த நேரம் பாத்தாலும்
45,SP12_THA_M_1,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_1.wav,இந்த அரிசி பருப்பு சீனி எல்லாத்தயும் கொண்டு போயி உள்ள வை
46,SP12_THA_M_2,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_2.wav,ஏய் லெச்சுமி ஓன் மவளுவா எங்க
47,SP12_THA_M_3,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_3.wav,நான் ரேசனுக்கு போயிட்டு வரத்துக்குள்ள ஏன் மாமரத்துல இருந்து மாங்காய வறண்டுட்டு போயிட்டாவ
48,SP12_THA_M_4,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_4.wav,நாம ரெண்டுபேரும் போவயில ஓன் மவலுவா தான் இங்க குந்திருந்தது
49,SP12_THA_M_5,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_5.wav,கூப்புடு அவளுவல நான் கேக்கட்டும் அவளுவ வேலயா இருக்கும்
50,SP12_THA_M_6,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_6.wav,இங்காருங்க ஆச்சி ஏன் மவளு வண்டிட்டு போயிட்டான்னு சொல்லாதியா
51,SP12_THA_M_7,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_7.wav,ஏன்கிட்டே இல்லாத மாமரமா மாங்காயா என்னைக்கும் இல்லாம ஓன் வீட்ல வந்து வறண்ட போராவ
52,SP12_THA_M_8,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_8.wav,ஊருக்கு இளிச்ச வாயி பிள்ளையாரு கோவில் ஆண்டியான்
53,SP12_THA_M_9,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_9.wav,ஏன் சங்கதி என்னனு இந்த தெருவுல இருக்குற எல்லாத்துக்கும் தெரியும்
54,SP12_THA_M_10,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_10.wav,ஏன் வீட்டு மாமரத்துல கைய வைக்கிற அளவுக்கு யாருக்கும் தைரியம் கிடையாது ஓன் மவளுவல தவிர
55,SP12_THA_M_11,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_11.wav,ஆலமரம் வேப்பமரம் என் வீட்டு மரம் புளியமரம்
56,SP12_THA_M_12,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_12.wav,ஆவாக்க கோவக்கா புளியாங்கா ஏன் மவளுக்கு எதுக்கு மாங்கா
57,SP12_THA_M_13,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_13.wav,ஊட்டு நெறயா மாங்கா இருந்தாலும் ஏன் ஊட்டு மாங்காவா தான் வறண்டுராவோ
58,SP12_THA_M_14,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_14.wav,நாய்க்கு தெரியுமா நல்ல எண்ண வாச கழுதைக்கு தெரியுமா கற்பூர வாச
59,SP12_THA_M_15,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_15.wav,நேத்து பேஞ்ச மழைல இன்னைக்கு பேஞ்ச காளான்லான் என்ன பேச வந்துட்டு
60,SP12_THA_M_16,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_16.wav,போயி நீங்க பாட்டுக்கு தூங்க போயிட்டிய அதுவ அநியாயம் பண்ணி வச்சுருக்கு அடுப்படில
61,SP12_THA_M_17,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_17.wav,இப்போ நீங்க தான் சுத்தம் பண்ணி வைங்க நான் போறேன்
62,SP12_THA_M_18,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_18.wav,பொழுது விடிஞ்சு பொழுது போனா எப்ப பாரு அடுப்படில நின்னு சமைக்கறது வேலயா போச்சு
63,SP12_THA_M_19,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_19.wav,என்ன நைசா காலைலயே அடுப்படி குள்ள வந்துட்டீங்க
64,SP12_THA_M_20,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_20.wav,இன்னும் பாத்திரம் கூட வெலக்கல டீ கீ கேட்டு வந்து நிக்காதிய
65,SP12_THA_M_21,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_21.wav,செரி செரி காலையிலேயே ஆரம்பிச்சுறாத எனக்கு டீ ய மட்டும் போட்டு குடுத்துரு
66,SP12_THA_M_22,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_22.wav,நேத்து என்ன சொன்னிங்க வீராப்பா கடைல போயி டீ குடிச்சுகிறேன் நீ போடுற டீ வேண்டாம்னு
67,SP12_THA_M_23,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_23.wav,இன்னைக்கு என்ன இங்க வந்து டீ கேக்குறீங்க
68,SP12_THA_M_24,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_24.wav,லாக்டவுன்ல கட தொறக்கலயா
69,SP12_THA_M_25,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_25.wav,அய்யயோ கரெக்ட்டா கண்டு புடிச்சுட்டாலே எப்படி சமாளிக்கறது
70,SP12_THA_M_26,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_26.wav,செத்த இருங்க ஏன் வேலய முடிச்சுட்டு போட்டு தரேன் என்ன பண்றது
71,SP12_THA_M_27,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_27.wav,அம்மா நாங்க எந்திரிச்சு வந்துட்டோம் சீக்கிரமா பால் குடுமா
72,SP12_THA_M_28,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_28.wav,அம்மா எனக்கு காப்பி தான் வேணும் பால் எல்லாம் வேணாம்
73,SP12_THA_M_29,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_29.wav,ஏன் பிள்ளைங்கள திட்டுற அவங்க கேக்குறத போட்டு குடு
74,SP12_THA_M_30,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_30.wav,அப்படியே எனக்கு கொஞ்சோண்டு டீ போட்டு குடு
75,SP12_THA_M_31,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_31.wav,என்னது டீ வேணுமா இப்ப தான போட்டு குடுத்து அரமணி நேரம் அகல அதுக்குள்ளையுமா?
76,SP12_THA_M_32,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP12_THA_audio/SP12_THA_M_32.wav,அது கொஞ்சம் சூடு கம்மியா இருந்துச்சு கொஞ்சம் சூடா போட்டு குடேன்
77,SP14_THA_M_1,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP14_THA_audio/SP14_THA_M_1.wav,இதும் நாட்டு கத்திரிக்கா தாம்மா பாக்கதான் ஒங்களுக்கு அப்படி தெரியுது
78,SP14_THA_M_2,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP14_THA_audio/SP14_THA_M_2.wav,நீங்க வாங்கி சாப்புட்டு பாருங்க அடுத்த தரவ இந்த கத்திரிக்கா தான் வேணும்னு சொல்லுவீங்க
79,SP14_THA_M_3,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP14_THA_audio/SP14_THA_M_3.wav,அக்கா இவருகிட்ட வாங்க அக்கா வாங்குவோம் நம்ம ஊரு காரரு கொறச்சு குடுப்பாரு
80,SP14_THA_M_4,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP14_THA_audio/SP14_THA_M_4.wav,அட இரு டி செத்த நாலு கடைல கேட்டு வாங்குனா தாண்டி தெரியும் வெல கொரியா இருக்கா இல்ல கூட்டி இருக்கானு?
81,SP14_THA_M_5,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP14_THA_audio/SP14_THA_M_5.wav,இந்தா செத்த வந்துட்டேன் இரு
82,SP14_THA_M_6,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP14_THA_audio/SP14_THA_M_6.wav,மேடம் ஒங்களுக்கு என்ன காய்கறி வேணும் சொல்லுங்க நான் பொருக்கி தரேன் வெலய பத்தி அப்புறமா பேசிக்கலாம்
83,SP14_THA_M_7,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP14_THA_audio/SP14_THA_M_7.wav,எல்லா காய்லயும் ஒரு கிலோ போடுங்க நல்லா பார்த்து பொருக்கி குடுங்க இல்லனா எங்க அம்மா திட்டுவாங்க
84,SP14_THA_M_8,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP14_THA_audio/SP14_THA_M_8.wav,என்னடி அம்மா வந்ததுல இருந்து அந்த பையனுட்டே பேசிட்டு இருக்க
85,SP14_THA_M_9,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP14_THA_audio/SP14_THA_M_9.wav,காயெல்லாம் வாங்கிட்டியா இல்லையா நல்லா காயா வாங்கிட்டு போலனா ஒங்க அம்மா என்ன ஆஞ்சு போடுவா
86,SP14_THA_M_10,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP14_THA_audio/SP14_THA_M_10.wav,இவரு கடைல பிரெஷா இருக்கு நீங்களும் இங்க வாங்குங்க
87,SP14_THA_M_11,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP14_THA_audio/SP14_THA_M_11.wav,என்னடி அம்மா ரெக்கமெண்டேஷன் பலமா இருக்கு
88,SP14_THA_M_12,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP14_THA_audio/SP14_THA_M_12.wav,நான் பொ பொருக்கி குடுக்குற காய மட்டும் போடுங்க வெல எப்பவும் போல கேசுவலா போடுங்க
89,SP14_THA_M_13,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP14_THA_audio/SP14_THA_M_13.wav,காலங்காத்தாலா மொதோ போணி எல்லாத்தையும் களச்சு போட்டு போயிட்டு அவன் அவன்ட போயி வாங்குதுங்க
90,SP14_THA_M_14,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP14_THA_audio/SP14_THA_M_14.wav,இது எல்லாம் எதுக்கு வந்துதுங்க
91,SP15_THA_F_1,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP15_THA_audio/SP15_THA_F_1.wav,இது எல்லாம் எதுக்கு வந்துதுங்க
92,SP15_THA_F_2,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP15_THA_audio/SP15_THA_F_2.wav,ஆயி இந்த பொடவ மடிப்ப எடுத்து விடேன்
93,SP15_THA_F_3,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP15_THA_audio/SP15_THA_F_3.wav,நானும் எடுத்து விட்டு விட்டு பாக்கேன் நிக்கவே மாட்டங்கது
94,SP15_THA_F_4,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP15_THA_audio/SP15_THA_F_4.wav,எம்மோவ் நல்ல பட்டு பொடவ கட்டிக்கிட்டு பூவெல்லாம் வெச்சு கிட்டு எங்கம்மா போற
95,SP15_THA_F_5,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP15_THA_audio/SP15_THA_F_5.wav,நடுத்தெருவுல தமிழரசி சின்னம்மா இருகாலா அவா மவலுக்கு பரிசம் போடுராவோ போயிட்டு வந்துருதேன்
96,SP15_THA_F_6,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP15_THA_audio/SP15_THA_F_6.wav,இல்லாட்டி அவா கோவ்ச்சுக்குவா
